Línea 269: IGUAL -> =
Línea 269: FLOTANTE -> 25.5
Línea 269: PUNTOCOMA -> ;
Línea 270: LLAVE_DER -> }
Línea 273: FUNCION -> fn
Línea 273: IDENTIFICADOR -> tupla_variable_inexistente
Línea 273: PAREN_IZQ -> (
Línea 273: PAREN_DER -> )
Línea 273: LLAVE_IZQ -> {
Línea 274: VARIABLE -> let
Línea 274: IDENTIFICADOR -> valor
Línea 274: IGUAL -> =
Línea 274: IDENTIFICADOR -> tupla_no_existe
Línea 274: PUNTO -> .
Línea 274: ENTERO -> 0
Línea 274: PUNTOCOMA -> ;
Línea 275: LLAVE_DER -> }
Línea 278: FUNCION -> fn
Línea 278: IDENTIFICADOR -> array_no_declarado
Línea 278: PAREN_IZQ -> (
Línea 278: PAREN_DER -> )
Línea 278: LLAVE_IZQ -> {
Línea 279: VARIABLE -> let
Línea 279: IDENTIFICADOR -> elemento
Línea 279: IGUAL -> =
Línea 279: IDENTIFICADOR -> arreglo_inexistente
Línea 279: CORCHETE_IZQ -> [
Línea 279: ENTERO -> 0
Línea 279: CORCHETE_DER -> ]
Línea 279: PUNTOCOMA -> ;
Línea 280: LLAVE_DER -> }
Línea 283: FUNCION -> fn
Línea 283: IDENTIFICADOR -> mezcla_numerica
Línea 283: PAREN_IZQ -> (
Línea 283: PAREN_DER -> )
Línea 283: LLAVE_IZQ -> {
Línea 284: VARIABLE -> let
Línea 284: IDENTIFICADOR -> entero
Línea 284: DOSPUNTOS -> :
Línea 284: I32 -> i32
Línea 284: IGUAL -> =
Línea 284: ENTERO -> 10
Línea 284: PUNTOCOMA -> ;
Línea 285: VARIABLE -> let
Línea 285: IDENTIFICADOR -> flotante
Línea 285: DOSPUNTOS -> :
Línea 285: F64 -> f64
Línea 285: IGUAL -> =
Línea 285: FLOTANTE -> 20.5
Línea 285: PUNTOCOMA -> ;
Línea 286: VARIABLE -> let
Línea 286: IDENTIFICADOR -> mezcla
Línea 286: IGUAL -> =
Línea 286: IDENTIFICADOR -> entero
Línea 286: SUMA -> +
Línea 286: IDENTIFICADOR -> flotante
Línea 286: PUNTOCOMA -> ;
Línea 287: LLAVE_DER -> }
Línea 290: FUNCION -> fn
Línea 290: IDENTIFICADOR -> modulo_flotante
Línea 290: PAREN_IZQ -> (
Línea 290: PAREN_DER -> )
Línea 290: LLAVE_IZQ -> {
Línea 291: VARIABLE -> let
Línea 291: IDENTIFICADOR -> a
Línea 291: DOSPUNTOS -> :
Línea 291: F32 -> f32
Línea 291: IGUAL -> =
Línea 291: FLOTANTE -> 10.5
Línea 291: PUNTOCOMA -> ;
Línea 292: VARIABLE -> let
Línea 292: IDENTIFICADOR -> b
Línea 292: DOSPUNTOS -> :
Línea 292: F32 -> f32
Línea 292: IGUAL -> =
Línea 292: FLOTANTE -> 3.2
Línea 292: PUNTOCOMA -> ;
Línea 293: VARIABLE -> let
Línea 293: IDENTIFICADOR -> mod_val
Línea 293: IGUAL -> =
Línea 293: IDENTIFICADOR -> a
Línea 293: MODULO -> %
Línea 293: IDENTIFICADOR -> b
Línea 293: PUNTOCOMA -> ;
Línea 294: LLAVE_DER -> }
Línea 297: FUNCION -> fn
Línea 297: IDENTIFICADOR -> metodo_string_invalido
Línea 297: PAREN_IZQ -> (
Línea 297: PAREN_DER -> )
Línea 297: LLAVE_IZQ -> {
Línea 298: VARIABLE -> let
Línea 298: IDENTIFICADOR -> texto
Línea 298: IGUAL -> =
Línea 298: CADENA -> "hola mundo"
Línea 298: PUNTOCOMA -> ;
Línea 299: VARIABLE -> let
Línea 299: IDENTIFICADOR -> longitud
Línea 299: IGUAL -> =
